species,email,seenNotSeen
Ardeola bacchus,rmothersdale28@gov.uk,FALSE
Arremonops rufivirgatus,vcammidge29@netvibes.com,FALSE
Arremonops chloronotus,lredgrove2a@japanpost.jp,FALSE
Arremonops conirostris,kstorre2b@aol.com,FALSE
Artemisiospiza nevadensis,mmannion2c@discovery.com,FALSE
Artemisiospiza belli,lgehrtz2d@wix.com,FALSE
Arundinax aedon,rvowell2e@who.int,TRUE
Asio otus,ejobb2f@mozilla.org,TRUE
Asio stygius,btotterdill2g@sitemeter.com,TRUE
Asio flammeus,vsmidmoor2h@bigcartel.com,FALSE
Asio clamator,dcarayol2i@java.com,FALSE
Asio grammicus,sjurs2j@sun.com,FALSE
Aspatha gularis,sivanonko2k@state.gov,TRUE
Athene cunicularia,eizakoff2l@europa.eu,TRUE
Atlapetes pileatus,scomiam2m@desdev.cn,TRUE
Atlapetes albinucha,rcurry2n@unblog.fr,FALSE
Atlapetes tibialis,sallnutt2o@soundcloud.com,TRUE
Atlapetes luteoviridis,rshales2p@omniture.com,TRUE
Atticora pileata,aosman2q@live.com,FALSE
Atticora tibialis,alune2r@ow.ly,FALSE
Auriparus flaviceps,ekelsall2s@irs.gov,TRUE
Automolus exsertus,dmudle2t@usgs.gov,TRUE
Automolus subulatus,msancraft2u@godaddy.com,FALSE
Baeolophus wollweberi,psutherel2v@mozilla.org,FALSE
Baeolophus inornatus,nweldrick2w@nih.gov,TRUE
Baeolophus ridgwayi,ppifford2x@stumbleupon.com,TRUE
Baeolophus bicolor,codlin2y@baidu.com,FALSE
Baeolophus atricristatus,mcurzon2z@msn.com,FALSE
Bartramia longicauda,itemprell30@photobucket.com,TRUE
Bonasa umbellus,gburles31@washingtonpost.com,FALSE
Botaurus pinnatus,lgorghetto32@twitter.com,TRUE
Botaurus lentiginosus,dmewitt33@so-net.ne.jp,TRUE
Brachygalba salmoni,bjustham34@yahoo.com,TRUE
Branta bernicla,jclemensen35@nsw.gov.au,FALSE
Branta leucopsis,gcarbonell36@google.com,FALSE
Branta hutchinsii,hstarking37@comsenz.com,FALSE
Branta canadensis,eoflaherty38@cisco.com,FALSE
Bubulcus ibis,jingarfield39@ft.com,TRUE
Bucephala albeola,sthyer3a@google.nl,TRUE
Bucephala clangula,apinare3b@github.io,FALSE
Bucephala islandica,aoreagan3c@cbsnews.com,FALSE
Burhinus bistriatus,cmedler3d@cnbc.com,TRUE
Busarellus nigricollis,kwillingale3e@businessweek.com,TRUE
Buteo brachyurus,dplowman3f@mayoclinic.com,FALSE
Buteo swainsoni,kboanas3g@berkeley.edu,TRUE
Buteo albonotatus,jenrigo3h@businessinsider.com,TRUE
Buteo jamaicensis,mbackhouse3i@lycos.com,FALSE
Buteo lagopus,cbleier3j@accuweather.com,FALSE
Buteo regalis,bmulliss3k@imgur.com,FALSE
Buteo rufinus,mtramel3l@huffingtonpost.com,FALSE
Buteogallus anthracinus,bvaadeland3m@purevolume.com,TRUE
Buteogallus gundlachii,tpietron3n@opera.com,FALSE
Buteogallus meridionalis,rdameisele3o@privacy.gov.au,TRUE
Buteogallus urubitinga,ifinney3p@dyndns.org,FALSE
Buteogallus solitarius,mkidwell3q@ted.com,TRUE
Butorides virescens,iblanch3r@xrea.com,FALSE
Butorides striata,suren3s@creativecommons.org,TRUE
Calamospiza melanocorys,ispurnier3t@unicef.org,TRUE
Calcarius lapponicus,swem3u@netlog.com,FALSE
Calcarius ornatus,tfeaviour3v@skyrock.com,TRUE
Calcarius pictus,sfeatherstonhaugh3w@wikia.com,FALSE
Callipepla squamata,jswinden3x@vkontakte.ru,TRUE
Callipepla douglasii,mswatridge3y@acquirethisname.com,TRUE
Callipepla gambelii,lodonnell3z@examiner.com,TRUE
Calliphlox bryantae,ahaseley40@nsw.gov.au,TRUE
Calliphlox mitchellii,tmavin41@booking.com,FALSE
Calonectris leucomelas,cgeikie42@dell.com,FALSE
Calonectris diomedea,sespinazo43@yahoo.co.jp,FALSE
Calonectris edwardsii,cscarrott44@examiner.com,FALSE
Calothorax lucifer,hlanglands45@yolasite.com,TRUE
Calothorax pulcher,bgrigoryev46@51.la,TRUE
Calypte anna,mspataro47@globo.com,FALSE
Calypte costae,elissandrini48@bloglines.com,FALSE
Calyptophilus tertius,hradish49@mediafire.com,TRUE
Calyptophilus frugivorus,dkellogg4a@nytimes.com,TRUE
Camptostoma imberbe,awalklot4b@etsy.com,FALSE
Camptostoma obsoletum,tmarjoram4c@eepurl.com,TRUE
Campylopterus hemileucurus,btompkins4d@bluehost.com,FALSE
Canachites canadensis,cgoodluck4e@ibm.com,TRUE
Cantorchilus elutus,cpardew4f@tumblr.com,TRUE
Cantorchilus nigricapillus,alambis4g@patch.com,TRUE
Cantorchilus semibadius,llawman4h@nifty.com,TRUE
Cantorchilus leucotis,afolks4i@harvard.edu,TRUE
Caprimulgus jotaka,gsalandino4j@xing.com,FALSE
Capsiempis flaveola,dbould4k@g.co,FALSE
Caracara plancus,aroutley4l@newyorker.com,FALSE
Caracara cheriway,drussell4m@homestead.com,TRUE
Caracara lutosa,kdoerren4n@mit.edu,FALSE
Cardellina canadensis,lmatignon4o@weather.com,TRUE
Cardellina pusilla,sovise4p@wordpress.org,TRUE
Cardellina rubrifrons,gjewkes4q@addtoany.com,TRUE
Cardellina rubra,mbyrth4r@apple.com,FALSE
Cardellina versicolor,vhailes4s@nba.com,TRUE
Caryothraustes poliogaster,lgeorger4t@pbs.org,TRUE
Caryothraustes canadensis,mmcevay4u@devhub.com,TRUE
Catharopeza bishopi,henion4v@twitter.com,FALSE
Cathartes aura,ldailey4w@barnesandnoble.com,FALSE
Cathartes burrovianus,brishbrook4x@wordpress.org,TRUE
Catharus gracilirostris,tkinghorne4y@bing.com,FALSE
Catharus aurantiirostris,cthibodeaux4z@google.it,TRUE
Catharus dryas,hhackford50@marriott.com,FALSE
Catharus fuscescens,gtwyning51@ibm.com,FALSE
Catharus minimus,pbenoy52@mozilla.com,FALSE
Catharus bicknelli,lshirrell53@upenn.edu,TRUE
Catharus ustulatus,mshannahan54@gov.uk,FALSE
Catharus guttatus,mzapatero55@rediff.com,TRUE
Centrocercus urophasianus,asarfati56@timesonline.co.uk,TRUE
Centrocercus minimus,kcastard57@cafepress.com,TRUE
Cepphus grylle,smanon58@list-manage.com,TRUE
Cepphus columba,ggreenall59@g.co,FALSE
Cerorhinca monocerata,rdedon5a@adobe.com,TRUE
Certhia americana,rjenicek5b@cmu.edu,TRUE
Chaetura cinereiventris,rsamson5c@tiny.cc,FALSE
Chaetura spinicaudus,mcowburn5d@cnbc.com,FALSE
Chaetura fumosa,bpessolt5e@merriam-webster.com,FALSE
Chaetura martinica,aareles5f@php.net,FALSE
Chaetura pelagica,ccerro5g@delicious.com,TRUE
Chaetura vauxi,hwoof5h@sbwire.com,FALSE
Chaetura chapmani,jdemicoli5i@livejournal.com,FALSE
Chaetura meridionalis,ublunt5j@columbia.edu,TRUE
Chaetura brachyura,nchaff5k@blinklist.com,FALSE
Chalybura urochrysia,nblasgen5l@parallels.com,TRUE
Chalybura buffonii,hcondy5m@domainmarket.com,TRUE
Chamaepetes unicolor,iblindmann5n@gov.uk,TRUE
Charadrius mongolus,dtremble5o@about.me,FALSE
Charadrius leschenaultii,byakobovitz5p@engadget.com,FALSE
Charadrius veredus,segle5q@ucoz.ru,TRUE
Charadrius wilsonia,mguiu5r@myspace.com,FALSE
Charadrius collaris,hallewell5s@clickbank.net,FALSE
Charadrius montanus,rwhall5t@prweb.com,FALSE
Charadrius nivosus,clowery5u@europa.eu,FALSE
Chlidonias niger,gguillem5v@multiply.com,TRUE
Chlidonias leucopterus,shargitt5w@chicagotribune.com,FALSE
Chlidonias hybrida,dgully5x@ihg.com,TRUE
Chlorestes candida,ssavidge5y@geocities.com,TRUE
Chlorestes eliciae,rdunmuir5z@wiley.com,TRUE
Chlorestes julie,uedinburough60@wikia.com,FALSE
Chloridops kona,agirardini61@artisteer.com,FALSE
Chloroceryle amazona,hsimonite62@amazon.com,TRUE
Chloroceryle aenea,dclaesens63@ucsd.edu,FALSE
Chloroceryle americana,vcossom64@fastcompany.com,FALSE
Chloroceryle inda,kaldwich65@tinyurl.com,TRUE
Chlorophonia elegantissima,uphillpot66@parallels.com,TRUE
Chlorophonia musica,anewhouse67@uol.com.br,FALSE
Chlorophonia flavirostris,mgaltone68@jigsy.com,FALSE
Chlorophonia occipitalis,dcreasy69@si.edu,FALSE
Chlorophonia callophrys,bkiff6a@huffingtonpost.com,TRUE
Chlorothraupis carmioli,lmeasures6b@uol.com.br,FALSE
Chlorothraupis olivacea,zkubczak6c@sciencedirect.com,FALSE
Chondestes grammacus,aolphert6d@cdbaby.com,TRUE
Chondrohierax uncinatus,jstailey6e@netvibes.com,TRUE
Chordeiles acutipennis,mboal6f@ifeng.com,FALSE
Chordeiles minor,cmccallum6g@psu.edu,FALSE
Chordeiles gundlachii,tiianon6h@house.gov,TRUE
Chroicocephalus philadelphia,tkeers6i@ed.gov,TRUE
Chroicocephalus cirrocephalus,fofinan6j@globo.com,FALSE
Chroicocephalus ridibundus,jshevelin6k@state.gov,FALSE
Chrysomus icterocephalus,mkingwell6l@abc.net.au,TRUE
Ciccaba virgata,csinnat6m@miibeian.gov.cn,TRUE
Ciccaba nigrolineata,aalcide6n@bravesites.com,TRUE
Ciconia maguari,iyakuntsov6o@disqus.com,TRUE
Cinclocerthia ruficauda,blensch6p@nymag.com,TRUE
Cinclocerthia gutturalis,wbaldack6q@indiatimes.com,TRUE
Cinclus mexicanus,cblaszczyk6r@livejournal.com,TRUE
Ciridops anna,dmitchel6s@slideshare.net,TRUE
Cistothorus stellaris,mamos6t@cbc.ca,FALSE
Cistothorus platensis,crenouf6u@nba.com,TRUE
Cistothorus palustris,pwedderburn6v@hp.com,FALSE
Clangula hyemalis,cschankelborg6w@dropbox.com,FALSE
Claravis pretiosa,laxford6x@latimes.com,FALSE
Cnipodectes subbrunneus,stift6y@nba.com,TRUE
Coccyzus euleri,kstebbings6z@biblegateway.com,TRUE
Coccyzus minor,oscotson70@free.fr,TRUE
Coccyzus ferrugineus,stwentyman71@posterous.com,FALSE
Coccyzus erythropthalmus,hlabro72@ed.gov,FALSE
Coccyzus lansbergi,ggomery73@ask.com,TRUE
Coccyzus pluvialis,jschankel74@domainmarket.com,FALSE
Coccyzus rufigularis,ltorns75@odnoklassniki.ru,TRUE
Coccyzus vetula,smorhall76@marriott.com,FALSE
Coccyzus vieilloti,scudihy77@ifeng.com,TRUE
Coccyzus merlini,dhaydn78@issuu.com,FALSE
Coccyzus longirostris,afarnes79@businessweek.com,TRUE
Cochlearius cochlearius,bmckelvey7a@mapy.cz,TRUE
Colibri delphinae,igould7b@blogs.com,FALSE
Colibri thalassinus,dluxen7c@wix.com,FALSE
Colibri cyanotus,gsiddell7d@networkadvertising.org,TRUE
Colinus virginianus,cgrzegorek7e@cnbc.com,TRUE
Colinus nigrogularis,nmcareavey7f@fema.gov,FALSE
Colinus cristatus,ephilp7g@scribd.com,FALSE
Colonia colonus,jstopford7h@shinystat.com,FALSE
Columba livia,ssoffe7i@prnewswire.com,FALSE
Columba palumbus,kkubatsch7j@ebay.com,TRUE
Columbina inca,delsby7k@studiopress.com,FALSE
Columbina passerina,ksampson7l@nasa.gov,FALSE
Columbina minuta,srenney7m@paginegialle.it,TRUE
Columbina talpacoti,ltuckett7n@pagesperso-orange.fr,TRUE
Copsychus malabaricus,agreenstock7o@163.com,FALSE
Coragyps atratus,boflynn7p@arstechnica.com,FALSE
Corvus monedula,cfeek7q@taobao.com,FALSE
Corvus frugilegus,kdavidowsky7r@merriam-webster.com,TRUE
Corvus brachyrhynchos,cbulle7s@zimbio.com,FALSE
Corvus cornix,psidlow7t@naver.com,TRUE
Corvus jamaicensis,edrinkhill7u@a8.net,TRUE
Corvus sinaloae,hesson7v@oaic.gov.au,FALSE
Corvus ossifragus,jelleton7w@domainmarket.com,TRUE
Corvus corax,mocuddie7x@eventbrite.com,TRUE
Coturnix japonica,cmaceveley7y@bing.com,TRUE
Crax rubra,bpomeroy7z@xrea.com,TRUE
Creagrus furcatus,edrowsfield80@rambler.ru,TRUE
Crex crex,pplanks81@lulu.com,FALSE
Cryptoleucopteryx plumbea,dtombling82@miitbeian.gov.cn,TRUE
Crypturellus soui,lratie83@wp.com,TRUE
Crypturellus cinnamomeus,lworvell84@elegantthemes.com,FALSE
Crypturellus boucardi,vrahill85@ucla.edu,TRUE
Crypturellus kerriae,mcrumly86@sciencedirect.com,FALSE
Cyanecula svecica,tconerding87@apple.com,TRUE
Cyanerpes lucidus,dganing88@aboutads.info,FALSE
Cyanerpes caeruleus,kranklin89@mozilla.com,FALSE
Cyanerpes cyaneus,tjaffray8a@guardian.co.uk,FALSE
Cyanocitta stelleri,nsmitten8b@hhs.gov,FALSE
Cyanocitta cristata,dshayler8c@reverbnation.com,FALSE
Cyanolimnas cerverai,clochhead8d@google.com,TRUE
Cyanolyca mirabilis,apetty8e@google.es,FALSE
Cyanolyca nanus,cnaisbet8f@mayoclinic.com,TRUE
Cyanolyca pumilo,abirdsey8g@mtv.com,FALSE
Cyanolyca argentigula,lverduin8h@ox.ac.uk,FALSE
Cymbilaimus lineatus,jhaughey8i@theatlantic.com,TRUE
Cyphorhinus phaeocephalus,mlaurie8j@ezinearticles.com,FALSE
Cypseloides niger,aburgess8k@rambler.ru,TRUE
Cypseloides storeri,womullaney8l@is.gd,FALSE
Cypseloides cryptus,cfiggen8m@yellowpages.com,FALSE
Cypseloides cherriei,glere8n@soup.io,FALSE
Cyrtonyx montezumae,opryor8o@godaddy.com,FALSE
Cyrtonyx ocellatus,crubra8p@boston.com,FALSE
Dacnis venusta,alagden8q@adobe.com,TRUE
Dacnis cayana,cseres8r@miitbeian.gov.cn,FALSE
Dactylortyx thoracicus,rmckevany8s@craigslist.org,TRUE
Deconychura longicauda,dbuist8t@independent.co.uk,FALSE
Delichon urbicum,hritter8u@nasa.gov,FALSE
Dendragapus obscurus,vmcginny8v@hibu.com,TRUE
Dendrocincla homochroa,rglenny8w@fotki.com,TRUE
Dendrocincla anabatina,eboydon8x@w3.org,FALSE
Dendrocincla fuliginosa,bgovan8y@sfgate.com,TRUE
Dendrocolaptes sanctithomae,tmulder8z@skype.com,TRUE
Dendrocolaptes picumnus,lbanghe90@uol.com.br,TRUE
Dendrocygna viduata,nfransemai91@deliciousdays.com,FALSE
Dendrocygna autumnalis,lkrysztowczyk92@people.com.cn,FALSE
Dendrocygna arborea,njays93@hao123.com,TRUE
Dendrocygna bicolor,wtwitchings94@wikipedia.org,TRUE
Dendrortyx leucophrys,sfricke95@usgs.gov,FALSE
Dendrortyx macroura,aelleyne96@marriott.com,TRUE
Dendrortyx barbatus,bkeep97@newsvine.com,TRUE
Diglossa baritula,tblanch98@mlb.com,TRUE
Diglossa plumbea,lthorneloe99@weather.com,FALSE
Donacobius atricapilla,sabramski9a@deviantart.com,FALSE
Doricha enicura,cclappson9b@lulu.com,FALSE
Doricha eliza,hdavidovitch9c@weebly.com,FALSE
Doryfera ludovicae,djaquiss9d@netlog.com,TRUE
Drepanis coccinea,lmattiassi9e@cisco.com,FALSE
Drepanis pacifica,akirby9f@mozilla.org,FALSE
Drepanis funerea,nmeegin9g@networksolutions.com,TRUE
Dumetella carolinensis,hcuree9h@columbia.edu,TRUE
Dysithamnus mentalis,bdecarolis9i@newyorker.com,TRUE
Dysmorodrepanis munroi,croony9j@comsenz.com,TRUE
Ectopistes migratorius,cklemt9k@cocolog-nifty.com,TRUE
Elaenia martinica,hnitto9l@blogspot.com,TRUE
Elaenia flavogaster,mdoyley9m@fc2.com,FALSE
Elaenia albiceps,flett9n@dedecms.com,FALSE
Elaenia chiriquensis,amerryman9o@microsoft.com,FALSE
Elaenia frantzii,pcowpland9p@about.com,TRUE
Elaenia fallax,sbathurst9q@ameblo.jp,FALSE
Elanoides forficatus,sliver9r@nbcnews.com,FALSE
Elanus leucurus,aletertre9s@networkadvertising.org,FALSE
Emberiza leucocephalos,jmccurlye9t@ihg.com,TRUE
Emberiza pusilla,qweson9u@vkontakte.ru,TRUE
Emberiza rustica,dbech9v@arstechnica.com,TRUE
Empidonax alnorum,djorg9w@jimdo.com,TRUE
Empidonax traillii,fnorthin9x@imageshack.us,FALSE
Empidonax minimus,aamiss9y@vimeo.com,TRUE
Empidonax hammondii,fduferie9z@whitehouse.gov,FALSE
Empidonax affinis,hsimionescua0@google.ru,TRUE
Empidonax occidentalis,kferreaa1@icio.us,TRUE
Eremophila alpestris,rmacphadena2@rakuten.co.jp,FALSE
Erithacus rubecula,eandriolia3@technorati.com,TRUE
Eudocimus albus,jlegueya4@independent.co.uk,TRUE
Eudocimus ruber,fdumsdaya5@ed.gov,FALSE
Eugenes fulgens,hstolla6@dot.gov,FALSE
Eugenes spectabilis,erabla7@sourceforge.net,TRUE
Euneornis campestris,tmyderscougha8@miibeian.gov.cn,TRUE
Euodice cantans,cmontforda9@tripadvisor.com,TRUE
Euodice malabarica,jmallenaa@bbb.org,TRUE
Euphagus carolinus,adevonportab@boston.com,FALSE
Euphagus cyanocephalus,rhickissonac@samsung.com,TRUE
Euphonia affinis,jfoxonad@jimdo.com,TRUE
Euphonia laniirostris,dsilcocksae@a8.net,TRUE
Euphonia imitans,dlefeveraf@msu.edu,TRUE
Euphonia fulvicrissa,cstolleag@sakura.ne.jp,TRUE
Euplectes franciscanus,wvilesah@army.mil,TRUE
Euplectes afer,amcgroartyai@e-recht24.de,FALSE
Euptilotis neoxenus,jbockhaj@typepad.com,TRUE
Eurypyga helias,kbampfordak@cdbaby.com,TRUE
Eutoxeres aquila,dtulleyal@miitbeian.gov.cn,TRUE
Falcipennis canadensis,telkingtonam@dropbox.com,FALSE
Falco femoralis,jcapnoran@pagesperso-orange.fr,TRUE
Falco rufigularis,ltitcomao@guardian.co.uk,TRUE
Falco deiroleucus,arayap@smugmug.com,FALSE
Falco rusticolus,jkinnaraq@unblog.fr,FALSE
Falco peregrinus,cleveretar@dmoz.org,FALSE
Falco mexicanus,rbourthouloumeas@prlog.org,TRUE
Florisuga mellivora,bpiggenat@indiatimes.com,FALSE
Fluvicola pica,djakobssonau@opera.com,TRUE
Formicarius moniliger,imallonav@drupal.org,TRUE
Formicarius analis,gmackartanaw@cdc.gov,TRUE
Formicarius nigricapillus,dcrewsax@google.ca,TRUE
Formicarius rufipectus,lgwionethay@toplist.cz,FALSE
Fratercula arctica,gbecraftaz@telegraph.co.uk,TRUE
Fratercula corniculata,spurkinsb0@slashdot.org,FALSE
Fratercula cirrhata,mchmarnyb1@mashable.com,FALSE
Fregata ariel,mayreb2@studiopress.com,FALSE
Fregata magnificens,kleipnikb3@exblog.jp,TRUE
Fregata minor,dwollardb4@eventbrite.com,FALSE
Fregetta tropica,klimonb5@google.de,TRUE
Fringilla coelebs,dklewib6@netlog.com,FALSE
Fringilla montifringilla,espinellab7@army.mil,TRUE
Fulica atra,sfellenorb8@blinklist.com,TRUE
Gallinula galeata,sklampkb9@uiuc.edu,FALSE
Gallinula chloropus,ohasseyba@liveinternet.ru,TRUE
Gampsonyx swainsonii,twordleybb@soundcloud.com,TRUE
Gavia stellata,salgatebc@google.com,TRUE
Gavia arctica,jstrephanbd@fotki.com,FALSE
Gavia pacifica,kcrinagebe@vimeo.com,TRUE
Gavia immer,gfaustianbf@scribd.com,FALSE
Gavia adamsii,cdacresbg@blogger.com,FALSE
Gelochelidon nilotica,mdalgarnobh@vkontakte.ru,FALSE
Geopelia striata,theadsbi@amazon.co.uk,TRUE
Geotrygon versicolor,bgrassibj@google.nl,TRUE
Geranospiza caerulescens,cbaggsbk@microsoft.com,TRUE
Glareola pratincola,ngifkinsbl@cpanel.net,TRUE
Glareola maldivarum,cmcpheebm@plala.or.jp,FALSE
Glaucidium siju,clivardbn@dailymotion.com,TRUE
Glaucis aeneus,slawleffbo@1688.com,FALSE
Glaucis hirsutus,tgerrietzbp@live.com,FALSE
Glyphorynchus spirurus,ssegravebq@bigcartel.com,FALSE
Grallaria guatimalensis,tspriggingbr@google.es,TRUE
Grallaricula flavirostris,scotesfordbs@wordpress.com,FALSE
Grus grus,cpolhillbt@nationalgeographic.com,FALSE
Grus americana,fwheldonbu@bloglines.com,TRUE
Gymnasio nudipes,gsimminsbv@bravesites.com,FALSE
Gymnogyps californianus,lswanborrowbw@amazon.de,FALSE
Gymnopithys bicolor,seliezbx@flavors.me,FALSE
Habia rubica,echellamby@infoseek.co.jp,TRUE
Habia fuscicauda,lgellettbz@disqus.com,TRUE
Habia atrimaxillaris,lmickac0@tinyurl.com,TRUE
Haematopus ostralegus,ktrainc1@phpbb.com,TRUE
Haematopus palliatus,ldefewc2@bluehost.com,TRUE
Haematopus bachmani,mkintzelc3@smugmug.com,TRUE
Haliaeetus leucocephalus,cperillioc4@gmpg.org,TRUE
Haliaeetus albicilla,ekhilkovc5@wordpress.org,TRUE
Haliaeetus pelagicus,wcarpmilec6@meetup.com,TRUE
Haplophaedia aureliae,bmchalec7@answers.com,TRUE
Haplospiza rustica,ipooleyc8@t-online.de,TRUE
Harpia harpyja,scoakerc9@comcast.net,TRUE
Helicolestes hamatus,bveazeyca@ebay.com,TRUE
Heliodoxa jacula,dkedsliecb@tmall.com,FALSE
Heliomaster longirostris,mmothcc@census.gov,FALSE
Heliomaster constantii,honslowcd@virginia.edu,TRUE
Henicorhina leucosticta,ghagyardce@skype.com,FALSE
Henicorhina leucophrys,ccondycf@xrea.com,TRUE
Himantopus himantopus,kmontezcg@com.com,FALSE
Himantopus mexicanus,tkidstonch@ycombinator.com,TRUE
Himatione fraithii,jweinsci@youku.com,TRUE
Himatione sanguinea,edulantycj@goodreads.com,FALSE
Hirundapus caudacutus,egentyck@google.de,TRUE
Hydrobates leucorhous,bullyottcl@themeforest.net,FALSE
Hydrobates macrodactylus,ndobelcm@cbc.ca,TRUE
Hydrobates markhami,cfippecn@bbb.org,FALSE
Hydrobates tristrami,hfidoeco@google.de,TRUE
Hydrobates microsoma,hdevonscp@symantec.com,TRUE
Hydrocoloeus minutus,hpaulercq@xrea.com,TRUE
Hydroprogne caspia,bgagiecr@blog.com,TRUE
Hydropsalis cayennensis,tdelioncs@comsenz.com,TRUE
Hydropsalis maculicaudus,dandrivotct@cloudflare.com,TRUE
Hylocichla mustelina,yloinescu@oakley.com,FALSE
Hylomanes momotula,rmanachcv@domainmarket.com,FALSE
Hylopezus perspicillatus,talpescw@mozilla.com,FALSE
Hylopezus dives,ralywincx@ustream.tv,TRUE
Hylophylax naevioides,gdarwentcy@xrea.com,TRUE
Icterus maculialatus,jsturzakercz@mapy.cz,TRUE
Icterus spurius,mmayned0@newsvine.com,TRUE
Icterus cucullatus,hoscolleed1@google.ru,TRUE
Icterus pectoralis,tcrowed2@noaa.gov,FALSE
Ictinia mississippiensis,asprulld3@geocities.jp,TRUE
Ictinia plumbea,echattawayd4@army.mil,FALSE
Ixoreus naevius,jkuzemkad5@dell.com,TRUE
Jabiru mycteria,athundermand6@hostgator.com,TRUE
Jacana spinosa,ldunsleved7@bloglovin.com,TRUE
Jacana jacana,gcockertond8@illinois.edu,TRUE
Junco vulcani,abenfieldd9@amazonaws.com,FALSE
